建筑数量	1																			
201	建筑名称	范老师框架	行数	1	重置价值（美元）	3175200													
PG名称	编码	1	屋顶												
梁柱	B1041.001a	100	0												
外墙	B2011.201a	6.28049	6.28049	6.28049	6.28049	6.28049	6.28049	0												
隔墙	C1011.001a	3.54603	3.54603	3.54603	3.54603	3.54603	3.54603	0												
墙体涂料	C3011.002c	0.389275	0.389275	0.389275	0.389275	0.389275	0.389275	0												
天花板	C3032.003b	6.32918	6.32918	6.32918	6.32918	6.32918	6.32918	0												
吊灯	C3034.002	56.9626	56.9626	56.9626	56.9626	56.9626	56.9626	0												
冷水管	D2021.013a	0.0569626	0.0569626	0.0569626	0.0569626	0.0569626	0.0569626	0												
冷水管支撑	D2021.013b	0.0569626	0.0569626	0.0569626	0.0569626	0.0569626	0.0569626	0												
热水管	D2022.023a	0.113925	0.113925	0.113925	0.113925	0.113925	0.113925	0												
热水管支撑	D2022.023b	0.113925	0.113925	0.113925	0.113925	0.113925	0.113925	0												
排水管	D2031.013b	0.216458	0.216458	0.216458	0.216458	0.216458	0.216458	0												
HVAC管	D3041.021c	0.284813	0.284813	0.284813	0.284813	0.284813	0.284813	0												
HVAC管	D3041.022c	0.0759502	0.0759502	0.0759502	0.0759502	0.0759502	0.0759502	0												
HVAC_Drops	D3041.032c	3.41776	3.41776	3.41776	3.41776	3.41776	3.41776	0												
VAV_Box	D3041.041b	0.759502	0.759502	0.759502	0.759502	0.759502	0.759502	0												
消防喷头	D4011.033a	0.341776	0.341776	0.341776	0.341776	0.341776	0.341776	0												
电器	E2022.022z	67.032	67.032	67.032	67.032	67.032	67.032	0												
家具	E2022.020z	38.808	38.808	38.808	38.808	38.808	38.808	0												
屋顶	B3011.011	0	0	0	0	0	0	37.9751												
202	建筑名称	飚哥剪力墙	行数	17	重置价值（美元）	25561704														
PG名称	编码	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	屋顶
剪力墙	B1044.091	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	46.06	0
外墙	B2011.201a	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	16.7252	0
隔墙	C1011.001a	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	7.43988	0
墙体涂料	C3011.002c	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	3.40305	0
天花板	C3032.003b	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	14.1187	0
电梯	D1014.011	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
冷水管	D2021.013a	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0
冷水管支撑	D2021.013b	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0.127068	0
热水管	D2022.023a	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0
热水管支撑	D2022.023b	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0.254136	0
排水管	D2031.013b	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	0
HVAC管	D3041.021c	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0.42356	0
HVAC_Drops	D3041.032c	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	6.77696	0
消防喷头	D4011.033a	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	1.01654	0
电器	E2022.022u	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	31.48	0
家具	E2022.020u	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	196.75	0
屋顶	B3011.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.712												
