ID	Name	QuantityMedian	LossMedian	DowntimeMedian	QuantityMean	LossMean	DowntimeMean
0	bld-00
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	452.95	0	0	475.201	27.6322	0.163943
	B3011.011z	586.218	0	0	819.951	1246.77	3.87404
	BI.C.01.04	478.642	0	0	478.642	130.02	0.18108
	BI.D.02.03	12.0274	26127.9	43.6066	12.8692	31351.6	52.0959
	BI.L.01.02	2062.33	0	0	2082.77	859.771	0.301688
	BI.P.01.03	135.522	96810	8.19	136.66	112101	9.47879
	C.F.KL	916.212	3565.63	63.7175	969.091	6574	106.374
	C.F.KZ	913.398	2620.4	40.6	958.713	4803.98	69.9669
	C.S.Q	0	0	0	0	0	0
	E2022.001u	943.366	6219.16	0	951.281	8048.95	0
	E2022.020z	1513.94	3577.34	0	1610.75	4180.6	0
	E2022.022z	2671.38	27297.3	0	2793.1	31051	0
	MEP.L.01.01	4.3652	22000	26.2	4.684	27446.6	32.6864
	MEP.M.06.06	10.1973	0	0	10.198	0.877842	0.00854741
	MEP.M.06.08	2.69906	0	0	2.7133	0	0
	MEP.M.07.03	130.555	0	0	135.261	417.902	0.13414
	MEP.M.08.01	67.5225	0	0	67.8728	184.897	0.0986117
	MEP.P.01.02	2.03927	0	0	2.04298	0	0
	MEP.P.02.06	13.3161	0	0	14.4477	0	0
	MEP.P.03.02	8.75733	0	0	9.15502	0	0
	MEP.P.06.01	12.1592	0	0	12.2602	320.631	0.122344
