ID	Name	LossPerCpnMedian	LossPerCpnP16	LossPerCpnP84
0	bld-00
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	6.75483	1.43808	17.6636
	BI.C.01.04	0	0	0
	BI.D.02.03	4953.4	2578.99	8256.84
	BI.L.01.02	1.59537	0.492325	3.76916
	BI.P.01.03	2295.27	1199.94	3667.34
	C.F.KL	23.3366	7.27537	63.4779
	C.F.KZ	18.2963	4.70595	56.9986
	C.S.Q	0	0	0
	E2022.001u	40.6789	18.2105	84.9035
	E2022.020z	8.78485	5.65616	13.4283
	E2022.022z	37.6711	24.1762	59.9729
	MEP.L.01.01	10997.2	5238.96	16339.9
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	55.2799
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	65.6245	0	141.05
