ID	Name	LossMedian	DowntimeMedian	RedTagProbability	LossP10	LossP90	DowntimeP16	DowntimeP84	HurtMedian	HurtP16	HurtP84	DeathMedian	DeathP16	DeathP84
0	bld-00	135627	15.4082	0	96434.6	183101	8.42531	66.8169	6.25e-06	0	1.25e-05	0	0	0	
1	bld-01	1297.73	0.273276	0	240.55	3632.8	0	9.34434	0	0	0	0	0	0	
2	bld-02	3857.63	2.20846	0.001	863.396	9090.4	0	11.7047	0	0	1.25e-05	0	0	0	
3	bld-03	2167.35	0	0	364.152	5823.57	0	5.88216	0	0	0	0	0	0	
4	bld-04	5076.81	0.405753	0	1360.84	12141	0	4.87531	0	0	0	0	0	0	
5	bld-05	8371.21	0	0	3084.69	20158.9	0	9.74646	0	0	0	0	0	0	
6	bld-06	5356.99	0	0	1605.16	12909	0	7.91219	0	0	0	0	0	0	
7	bld-07	3368.86	0	0	820.507	8077.34	0	0	0	0	0.0003125	0	0	3.125e-05	
8	bld-08	9170.93	50.3014	0	3001.52	17867.4	20.7049	113.643	3.125e-05	0	0.0003125	0	0	3.125e-05	
9	bld-09	9531.1	52.0493	0	3495.82	18446.3	19.9574	116.129	3.125e-05	0	0.0003125	0	0	3.125e-05	
10	bld-10	0	0	0	0	1540.5	0	0	0	0	0	0	0	0	
11	bld-11	0	0	0	0	301.42	0	0	0	0	0	0	0	0	
12	bld-12	249793	173.642	0.665	184845	355031	130.078	179	0.0047619	0.0047619	0.00477024	0.000833333	0.000833333	0.000833333	
13	bld-13	583821	165.103	0.708	426100	796466	123.76	179	0.0047619	0.0047619	0.00477024	0.000833333	0.000833333	0.000833333	
14	bld-14	129868	167.068	0.666	104569	185094	128.467	179	0.0047619	0.0047619	0.0047619	0.000833333	0.000833333	0.000833333	
15	bld-15	351032	167.106	0.674	257736	495065	125.875	179	0.0047619	0.0047619	0.00477024	0.000833333	0.000833333	0.000833333	
16	bld-16	46551.2	17.5934	0	25473.6	71226.8	9.19962	39.2347	8.33333e-06	8.33333e-06	1.66667e-05	0	0	0	
17	bld-17	48096.9	31.2607	0.066	29808.5	74000.6	21.0421	44.1328	0.0357143	0.0357143	0.0357143	0.00625	0.00625	0.00625	
18	bld-18	204901	63.7594	0.235	138805	300489	47.2348	87.6989	0.0178571	0.0178571	0.0178571	0.003125	0.003125	0.003125	
19	bld-19	633519	132.973	0.663	436243	911106	97.8748	177.084	0.0119256	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
20	bld-20	843713	19.7447	0	708916	999776	10.8759	61.7789	9.375e-06	6.25e-06	1.25e-05	0	0	0	
21	bld-21	562668	24.0487	0	475157	662284	14.2002	59.6729	9.09091e-06	4.54545e-06	1.36364e-05	0	0	0	
22	bld-22	3055.21	0.579964	0	1174.77	6484.27	0	1.57551	0	0	0	0	0	0	
23	bld-23	214.443	0.726292	0	16.9269	639.233	0	8.29372	0	0	0	0	0	0	
24	bld-24	364.395	1.79583	0	46.0583	1186.19	0.208651	7.13101	0	0	3.125e-05	0	0	0	
25	bld-25	341.124	2.82308	0	37.9782	991.889	0.386075	8.32144	0	0	3.125e-05	0	0	0	
26	bld-26	254.972	1.24322	0	24.3402	764.402	0	7.79351	0	0	0	0	0	0	
27	bld-27	16.7995	0	0	0	276.578	0	0	0	0	0	0	0	0	
28	bld-28	151.054	0	0	0	465.924	0	11.3245	0	0	0	0	0	0	
29	bld-29	7.14442	0	0	0	192.306	0	0	0	0	0	0	0	0	
30	bld-30	102.323	0	0	0	422.273	0	8.58651	0	0	0	0	0	0	
31	bld-31	11.7204	0	0	0	239.407	0	0	0	0	0	0	0	0	
32	bld-32	18.092	0	0	0	297.741	0	0	0	0	0	0	0	0	
33	bld-33	5275.26	4.78912	0	2700.84	10487.8	2.82083	8.4206	2.08333e-05	0	0.000208333	0	0	2.08333e-05	
34	bld-34	2850.15	4.71776	0	1236.67	5928.89	2.51535	8.58275	2.08333e-05	0	0.000208333	0	0	2.08333e-05	
35	bld-35	49507.3	2.29014	0	25674.8	88661.7	1.10301	4.5365	0	0	0	0	0	0	
36	bld-36	79847.5	5.30395	0	46048.9	130577	1.41705	86.4775	0	0	0	0	0	0	
37	bld-37	2936.41	0	0	230.008	22501.6	0	31.2915	0	0	0	0	0	0	
38	bld-38	3744.78	0	0	455.315	23312.8	0	50.8382	0	0	0	0	0	0	
39	bld-39	62115.6	59.0553	0	40366.2	88351	33.8982	109.851	2.5e-05	1.25e-05	7.5e-05	0	0	0	
40	bld-40	57966.7	55.3301	0	36279	83833.5	33.2923	101.098	3.125e-05	1.25e-05	7.5e-05	0	0	0	
41	bld-41	63007.4	60.8332	0	40574.9	89284.5	34.0943	121.407	2.5e-05	1.25e-05	6.25e-05	0	0	0	
42	bld-42	19920	13.9584	0.001	4597.89	46591.4	5.42319	111.947	0	0	1.04167e-05	0	0	0	
