ID	Name	QuantityMedian	LossMedian	DowntimeMedian	QuantityMean	LossMean	DowntimeMean
0	bld-00
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	453.744	0	0	478.442	33.772	0.177034
	B3011.011z	619.079	0	0	860.884	909.361	2.7307
	BI.C.01.04	478.642	0	0	478.642	118.8	0.1656
	BI.D.02.03	11.9153	19775.7	33.0341	12.8993	21650.8	36.1802
	BI.L.01.02	2061.15	0	0	2090.82	580.933	0.2035
	BI.P.01.03	134.157	50357.4	4.24324	135.428	48734.3	4.10725
	C.F.KL	907.956	970.001	19	960.849	1334.57	23.4168
	C.F.KZ	913.411	658	10.4	956.411	855.766	11.8654
	C.S.Q	0	0	0	0	0	0
	E2022.001u	944.732	5180.12	0	951.262	6016.84	0
	E2022.020z	1513.85	3056.79	0	1583.74	3342.46	0
	E2022.022z	2622.43	23552.5	0	2816.74	25908.6	0
	MEP.L.01.01	4.59432	22000	26.2	4.88215	25690	30.5945
	MEP.M.06.06	10.153	0	0	10.1809	2.12188	0.022302
	MEP.M.06.08	2.71874	0	0	2.72835	0	0
	MEP.M.07.03	130.429	0	0	137.122	350.195	0.112412
	MEP.M.08.01	67.7848	0	0	67.9647	132	0.0704
	MEP.P.01.02	2.02155	0	0	2.03687	0	0
	MEP.P.02.06	13.0913	0	0	14.2789	6.60194	0.00911074
	MEP.P.03.02	8.77157	0	0	9.10158	0	0
	MEP.P.06.01	12.2745	0	0	12.2925	235.256	0.0890106
1	bld-01
	B1035.001	0	0	0	0	0	0
	B1052.011z	35.1831	0	0	35.8933	149.276	0.13135
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	0.0435198	0	0	0.0438023	0	0
	B3011.011z	42.9753	0	0	42.9753	179.085	0.611819
	BI.C.01.04	0.859506	0	0	0.859506	0.567274	0.000721984
	BI.D.02.03	0.0187088	0	0	0.018929	3.91516	0.00652526
	BI.L.01.02	65.6102	0	0	67.6387	284.93	0.0997104
	BI.P.01.03	0.129875	0	0	0.130992	0.584736	4.89224e-05
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	108.9	458.94	0	119.833	561.751	0
	E2022.022z	17.1263	0	0	19.0007	426.25	0
	MEP.L.01.01	0	0	0	0	0	0
	MEP.M.06.06	0	0	0	0	0	0
	MEP.M.06.08	0.186443	0	0	0.207831	0	0
	MEP.M.07.03	1.3464	0	0	1.38926	25.3411	0.00813219
	MEP.M.08.01	0	0	0	0	0	0
	MEP.P.01.02	0.0654286	0	0	0.065945	0	0
	MEP.P.02.06	0.0414765	0	0	0.0419094	0.00743729	5.47925e-06
	MEP.P.03.02	0.0855278	0	0	0.0862793	0	0
	MEP.P.06.01	0.345817	0	0	0.349344	30.2434	0.0132167
2	bld-02
	B1035.001	0	0	0	0	0	0
	B1052.011z	33.1968	0	0	34.0981	1189.31	1.04679
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	7.20806	0	0	8.63806	2.61205	0.0137928
	B3011.011z	10.1338	0	0	10.1338	42.6433	0.147454
	BI.C.01.04	14.0632	0	0	14.0632	9.90001	0.0138
	BI.D.02.03	0.235003	0	0	0.280909	135.461	0.225768
	BI.L.01.02	62.6554	0	0	63.1928	44.7613	0.0156552
	BI.P.01.03	3.56645	0	0	3.59911	31.4202	0.0026288
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	45.7709	202.115	0	51.0371	264.508	0
	E2022.022z	79.4191	1436.99	0	87.4663	1966.73	0
	MEP.L.01.01	0.0949153	256.962	0.306018	0.14111	948.62	1.12972
