ID	Name	LossPerCpnMedian	LossPerCpnP10	LossPerCpnP90
0	bld-00
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	3.42495
	BI.C.01.04	0	0	0
	BI.D.02.03	1616.68	897.997	2616.95
	BI.L.01.02	0	0	0.802197
	BI.P.01.03	351.997	186.799	530.967
	C.F.KL	1.17846	0.394418	2.4111
	C.F.KZ	0.673985	0.168401	1.50786
	C.S.Q	0	0	0
	E2022.001u	5.51444	0	14.3556
	E2022.020z	2.03042	1.19712	3.14851
	E2022.022z	8.8915	4.97274	13.4948
	MEP.L.01.01	4757.51	0	10671.2
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	70.9385
1	bld-01
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	12.164
	BI.C.01.04	0	0	0
	BI.D.02.03	0	0	0
	BI.L.01.02	0	0	20.108
	BI.P.01.03	0	0	0
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	4.25366	0.925259	9.41358
	E2022.022z	0	0	87.5386
	MEP.L.01.01	0	0	0
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	408.48
2	bld-02
	B1035.001	0	0	0
	B1052.011z	0	0	101.843
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	0	0	2174.3
	BI.L.01.02	0	0	0
	BI.P.01.03	0	0	0
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	4.07564	0	12.5053
	E2022.022z	17.0795	0	55.5357
	MEP.L.01.01	3646.09	0	20418.2
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	275.319
3	bld-03
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	0	0	0
	BI.L.01.02	0	0	24.3047
	BI.P.01.03	0	0	0
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	3.60595	0	11.8555
	E2022.022z	12.9333	0	51.7925
	MEP.L.01.01	3418.96	0	20763.9
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	413.963
4	bld-04
	B1035.001	0	0	0
	B1052.011z	0	0	19.6346
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	0	0	0
	BI.L.01.02	0	0	14.7981
	BI.P.01.03	0	0	0
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	4.18936	0	10.4221
	E2022.022z	18.8523	0	46.0008
	MEP.L.01.01	3343.39	0	20454
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	408.053
5	bld-05
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	0	0	1592.36
	BI.L.01.02	0	0	0
	BI.P.01.03	0	0	0
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	4.47266	1.12442	8.96452
	E2022.022z	18.46	4.39819	39.9682
	MEP.L.01.01	3940.17	0	20270.3
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	345.458
6	bld-06
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	0	0	1631.37
	BI.L.01.02	0	0	0
	BI.P.01.03	0	0	0
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	4.39348	0	9.98784
	E2022.022z	18.1491	0	43.8569
	MEP.L.01.01	4774.45	0	21041.5
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	271.466
7	bld-07
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	2463.58	0	6897.75
	BI.L.01.02	0	0	0
	BI.P.01.03	0	0	4236.89
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	716.253
	E2022.001u	0	0	0
	E2022.020z	0	0	12.5051
	E2022.022z	0	0	0
	MEP.L.01.01	3011.9	0	18881.9
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	389.15
8	bld-08
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	2461.72	0	5475.73
	BI.L.01.02	0	0	0
	BI.P.01.03	0	0	3355.54
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	217.215	0	551.644
	E2022.001u	0	0	0
	E2022.020z	2.58377	0	8.57843
	E2022.022z	0	0	53.8615
	MEP.L.01.01	1988.13	0	17940
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	383.998
9	bld-09
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	2354.57	0	7661.15
	BI.L.01.02	0	0	0
	BI.P.01.03	0	0	3189.63
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	210.531	0	541.84
	E2022.001u	0	0	0
	E2022.020z	2.68487	0	8.48665
	E2022.022z	0	0	46.7767
	MEP.L.01.01	3358.71	0	18969.6
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	300.595
10	bld-10
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	0	0	0
	BI.L.01.02	0	0	0
	BI.P.01.03	0	0	0
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	0	0	1.8128
	E2022.022z	0	0	4.53029
	MEP.L.01.01	0	0	22000
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	0
11	bld-11
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	0	0	0
	BI.L.01.02	0	0	0
	BI.P.01.03	0	0	0
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	0	0	0
	E2022.022z	0	0	0
	MEP.L.01.01	0	0	22000
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	0
12	bld-12
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	2220.25	1589.65	2936.28
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	5022.81	1408.87	10579.6
	BI.L.01.02	0	0	0
	BI.P.01.03	3127.88	1975.83	4423.63
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	0	0	0.918008
	E2022.022z	0	0	4.41518
	MEP.L.01.01	0	0	5479.99
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	0
13	bld-13
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	2201.75	1583.53	2874.53
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	5149.25	1255.29	10223.8
	BI.L.01.02	0	0	0
	BI.P.01.03	2895.02	2154.84	3772.38
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	0	0	0.736326
	E2022.022z	0	0	3.52137
	MEP.L.01.01	0	0	5659.42
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	0
14	bld-14
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	2285.45	1763.28	2967.93
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	4715.59	1420.88	10441.9
	BI.L.01.02	0	0	0
	BI.P.01.03	2845.79	1909.48	4760.71
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	0	0	0.335444
	E2022.022z	0	0	0
	MEP.L.01.01	0	0	5397.62
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	0
15	bld-15
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	2220.79	1598.19	2984.65
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	5221.32	1391.73	10157
	BI.L.01.02	0	0	0
	BI.P.01.03	3048.56	2109.9	4176.5
	C.F.KL	0	0	0
	C.F.KZ	0	0	0
	C.S.Q	0	0	0
	E2022.001u	0	0	0
	E2022.020z	0	0	0.827522
	E2022.022z	0	0	3.99863
	MEP.L.01.01	0	0	5216.49
	MEP.M.06.06	0	0	0
	MEP.M.06.08	0	0	0
	MEP.M.07.03	0	0	0
	MEP.M.08.01	0	0	0
	MEP.P.01.02	0	0	0
	MEP.P.02.06	0	0	0
	MEP.P.03.02	0	0	0
	MEP.P.06.01	0	0	0
16	bld-16
	B1035.001	0	0	0
	B1052.011z	0	0	0
	B1052.011zu	0	0	0
	B1071.001	0	0	0
	B2011.011az	0	0	0
	B3011.011z	0	0	0
	BI.C.01.04	0	0	0
	BI.D.02.03	2008.57	641.734	3862.71
	BI.L.01.02	0	0	0
