619																					
Blg_LB	Stories	height	Year	T1	T2	Area	IM	Site_CD	Site_GP	YieldOver	PeakOver	YieldStiff	PGA	dt	Ttime	StrucType	matcodeinput	OutputCtrl	BlgCondition	MasonryWallRatio	Width
1	4	10	1990	-1	-1	3088.01	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
2	2	6	1990	-1	-1	199.627	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
3	2	6	1980	-1	-1	192.134	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
4	2	6	1995	-1	-1	150.389	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
5	2	6	1995	-1	-1	300.618	8	2	1	-1	-1	-1	2.55	0.001	90	3	0	20001100	-1	-1	-1
6	2	12	1990	-1	-1	593.422	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
7	2	12	1990	-1	-1	353.388	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
8	2	6	1990	-1	-1	43.4815	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
9	2	6	1990	-1	-1	109.227	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
10	2	6	1990	-1	-1	113.318	8	2	1	-1	-1	-1	2.55	0.001	90	1	0	20001100	-1	-1	-1
11	1	3.5	1990	-1	-1	287.72	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
12	1	3.5	1990	-1	-1	50.2368	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
13	3	8.4	1970	-1	-1	391.333	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
14	3	8.4	1970	-1	-1	930.915	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
15	3	8.4	1970	-1	-1	202.731	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
16	3	8.4	1970	-1	-1	553.818	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
17	3	7.5	1970	-1	-1	1484.63	8	2	1	-1	-1	-1	2.55	0.001	90	0	0	20001100	-1	-1	-1
18	1	3	1970	-1	-1	366.875	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
19	2	6	1970	-1	-1	759.546	8	2	1	-1	-1	-1	2.55	0.001	90	2	0	20001100	-1	-1	-1
