50																					
Blg_LB	Stories	height	Year	T1	T2	Area	IM	Site_CD	Site_GP	YieldOver	PeakOver	YieldStiff	PGA	dt	Ttime	StrucType	matcodeinput	OutputCtrl	BlgCondition	MasonryWallRatio	Width
1	4	10	1990	-1	-1	3088.01	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
2	2	6	1990	-1	-1	199.627	8	2	1	-1	-1	-1	2	0.001	90	3	0	20001100	-1	-1	-1
3	2	6	1980	-1	-1	192.134	8	2	1	-1	-1	-1	2	0.001	90	3	0	20001100	-1	-1	-1
4	2	6	1995	-1	-1	150.389	8	2	1	-1	-1	-1	2	0.001	90	3	0	20001100	-1	-1	-1
5	2	6	1995	-1	-1	300.618	8	2	1	-1	-1	-1	2	0.001	90	3	0	20001100	-1	-1	-1
6	2	12	1990	-1	-1	593.422	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
7	2	12	1990	-1	-1	353.388	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
8	2	6	1990	-1	-1	43.4815	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
9	2	6	1990	-1	-1	109.227	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
10	2	6	1990	-1	-1	113.318	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
11	1	3.5	1990	-1	-1	287.72	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
12	1	3.5	1990	-1	-1	50.2368	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
13	3	8.4	1970	-1	-1	391.333	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
14	3	8.4	1970	-1	-1	930.915	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
15	3	8.4	1970	-1	-1	202.731	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
16	3	8.4	1970	-1	-1	553.818	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
17	3	7.5	1970	-1	-1	1484.63	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
18	1	3	1970	-1	-1	366.875	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
19	2	6	1970	-1	-1	759.546	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
20	3	9	1970	-1	-1	1142.96	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
21	8	20	2011	-1	-1	8427	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
22	11	27.5	2011	-1	-1	3948.28	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
23	2	8	1980	-1	-1	1982.26	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
24	2	6	1980	-1	-1	128.702	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
25	2	6	1980	-1	-1	217.712	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
26	2	6	1980	-1	-1	199.368	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
27	2	6	1980	-1	-1	153.661	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
28	2	6	1980	-1	-1	43.7642	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
29	2	6	1980	-1	-1	90.3421	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
30	2	6	1980	-1	-1	29.431	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
31	2	6	1980	-1	-1	81.5233	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
32	2	6	1980	-1	-1	42.3873	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
33	2	6	1980	-1	-1	48.047	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
34	3	7.5	1970	-1	-1	1995.91	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
35	3	7.5	1970	-1	-1	1085.36	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
36	1	10	2008	-1	-1	10050.7	8	2	1	-1	-1	-1	2	0.001	90	3	0	20001100	-1	-1	-1
37	2	10	2009	-1	-1	3764.88	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
38	1	4.5	1990	-1	-1	3373.31	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
39	1	10	2001	-1	-1	4070.03	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
40	5	12.5	1990	-1	-1	549.053	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
41	5	12.5	1990	-1	-1	504.059	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
42	5	12.5	1990	-1	-1	553.789	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
43	2	6.4	1983	-1	-1	1299.22	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
44	7	17.5	1990	-1	-1	873.308	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
45	2	5	1970	-1	-1	248.308	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
46	2	5	1970	-1	-1	164.242	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
47	5	14	1970	-1	-1	716.509	8	2	1	-1	-1	-1	2	0.001	90	2	0	20001100	-1	-1	-1
48	3	9	1980	-1	-1	529.77	8	2	1	-1	-1	-1	2	0.001	90	0	0	20001100	-1	-1	-1
49	5	14	1990	-1	-1	693.166	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
50	5	16	2009	-1	-1	3777.74	8	2	1	-1	-1	-1	2	0.001	90	1	0	20001100	-1	-1	-1
