ID	Function
0	科教
1	经济
2	科教
3	科教
4	科教
5	科教
6	科教
7	科教
8	科教
9	科教
10	科教
11	科教
12	科教
13	科教
14	科教
15	科教
16	经济
17	经济
18	经济
19	经济
20	科教
21	科教
22	经济
23	经济
24	经济
25	经济
26	经济
27	经济
28	经济
29	经济
30	经济
31	经济
32	经济
33	公益
34	公益
35	文化
36	文化
37	文化
38	文化
39	家庭
40	家庭
41	家庭
42	经济
43	家庭
44	科教
45	科教
46	公益
47	科教
48	家庭
49	文化
50	科教
51	科教
52	科教
53	科教
54	科教
55	科教
56	经济
57	科教
58	家庭
59	家庭
60	科教
61	公益
62	科教
63	科教
64	科教
65	家庭
66	家庭
67	家庭
68	科教
69	经济
70	家庭
71	家庭
72	家庭
73	家庭
74	家庭
75	家庭
76	科教
77	科教
78	科教
79	科教
80	政府
81	科教
82	科教
83	科教
84	科教
85	科教
86	科教
87	科教
88	家庭
89	家庭
90	家庭
91	科教
92	家庭
93	家庭
94	家庭
95	家庭
96	家庭
97	家庭
98	家庭
99	科教
100	科教
101	政府
102	科教
103	科教
104	科教
105	科教
106	公益
107	
108	经济
109	家庭
110	科教
111	科教
112	科教
113	科教
114	科教
115	公益
116	科教
117	政府
118	经济
119	科教
120	科教
121	科教
122	科教
123	科教
124	科教
125	文化
126	文化
127	科教
128	科教
129	医疗
130	医疗
131	科教
132	科教
133	经济
134	经济
135	经济
136	文化
137	经济
138	文化
139	文化
140	家庭
141	家庭
142	家庭
143	家庭
144	家庭
145	家庭
146	家庭
147	家庭
148	家庭
149	家庭
150	家庭
151	家庭
152	家庭
153	科教
154	家庭
155	家庭
156	家庭
157	家庭
158	家庭
159	家庭
160	家庭
161	家庭
162	家庭
163	家庭
164	家庭
165	家庭
166	家庭
167	家庭
168	家庭
169	家庭
170	家庭
171	家庭
172	家庭
173	家庭
174	家庭
175	家庭
176	家庭
177	家庭
178	家庭
179	家庭
180	家庭
181	家庭
182	家庭
183	家庭
184	家庭
185	家庭
186	家庭
187	家庭
188	家庭
189	家庭
190	家庭
191	家庭
192	家庭
193	家庭
194	家庭
195	家庭
196	家庭
197	家庭
198	家庭
199	家庭
200	家庭
201	家庭
202	家庭
203	家庭
204	家庭
205	家庭
206	家庭
207	家庭
208	家庭
209	家庭
210	家庭
211	家庭
212	家庭
213	家庭
214	家庭
215	家庭
216	家庭
217	家庭
218	家庭
219	家庭
220	家庭
221	家庭
222	家庭
223	家庭
224	家庭
225	家庭
226	家庭
227	家庭
228	家庭
229	家庭
230	科教
231	科教
232	科教
233	科教
234	科教
235	科教
236	科教
237	科教
238	科教
239	科教
240	科教
241	科教
242	科教
243	科教
244	科教
245	科教
246	科教
247	科教
248	科教
249	科教
250	科教
251	科教
252	政府
253	政府
254	政府
255	政府
256	政府
257	政府
258	政府
259	政府
260	政府
261	政府
262	政府
263	政府
264	政府
265	政府
266	政府
267	政府
268	政府
269	政府
270	政府
271	政府
272	科教
273	文化
274	公益
275	科教
276	经济
277	经济
278	经济
279	经济
280	家庭
281	家庭
282	家庭
283	家庭
284	家庭
285	家庭
286	家庭
287	家庭
288	家庭
289	家庭
290	家庭
291	家庭
292	家庭
293	家庭
294	家庭
295	家庭
296	家庭
297	家庭
298	家庭
299	家庭
300	家庭
301	家庭
302	家庭
303	家庭
304	家庭
305	家庭
306	家庭
307	家庭
308	家庭
309	家庭
310	家庭
311	家庭
312	家庭
313	家庭
314	家庭
315	家庭
316	经济
317	经济
318	科教
319	经济
320	经济
321	经济
322	经济
323	经济
324	家庭
325	经济
326	经济
327	经济
328	经济
329	经济
330	经济
331	经济
332	经济
333	经济
334	经济
335	经济
336	经济
337	经济
338	经济
339	经济
340	经济
341	经济
342	经济
343	经济
344	经济
345	经济
346	经济
347	经济
348	经济
349	家庭
350	家庭
351	家庭
352	家庭
353	家庭
354	家庭
355	家庭
356	家庭
357	家庭
358	家庭
359	家庭
360	家庭
361	家庭
362	家庭
363	家庭
364	家庭
365	家庭
366	家庭
367	家庭
368	家庭
369	家庭
370	家庭
371	家庭
372	家庭
373	家庭
374	家庭
375	家庭
376	家庭
377	家庭
378	家庭
379	家庭
380	家庭
381	家庭
382	家庭
383	家庭
384	家庭
385	家庭
386	家庭
387	家庭
388	家庭
389	家庭
390	家庭
391	家庭
392	家庭
393	家庭
394	家庭
395	家庭
396	家庭
397	家庭
398	家庭
399	家庭
400	家庭
401	家庭
402	家庭
403	家庭
404	家庭
405	家庭
406	家庭
407	家庭
408	家庭
409	家庭
410	家庭
411	家庭
412	家庭
413	家庭
414	家庭
415	家庭
416	家庭
417	家庭
418	家庭
419	家庭
420	家庭
421	家庭
422	家庭
423	家庭
424	家庭
425	家庭
426	家庭
427	经济
428	家庭
429	家庭
430	家庭
431	家庭
432	家庭
433	家庭
434	家庭
435	家庭
436	家庭
437	家庭
438	家庭
439	家庭
440	家庭
441	家庭
442	家庭
443	家庭
444	家庭
445	家庭
446	家庭
447	家庭
448	家庭
449	家庭
450	家庭
451	家庭
452	家庭
453	家庭
454	家庭
455	家庭
456	家庭
457	家庭
458	家庭
459	家庭
460	家庭
461	家庭
462	家庭
463	家庭
464	家庭
465	家庭
466	家庭
467	家庭
468	家庭
469	家庭
470	家庭
471	家庭
472	家庭
473	家庭
474	家庭
475	家庭
476	家庭
477	家庭
478	家庭
479	家庭
480	家庭
481	家庭
482	家庭
483	家庭
484	家庭
485	家庭
486	经济
487	经济
488	经济
489	公益
490	家庭
491	家庭
492	家庭
493	家庭
494	家庭
495	科教
496	科教
497	家庭
498	文化
499	家庭
500	科教
501	家庭
502	家庭
503	家庭
504	家庭
505	家庭
506	科教
507	科教
508	科教
509	科教
510	科教
511	家庭
512	家庭
513	家庭
514	家庭
515	家庭
516	家庭
517	家庭
518	家庭
519	家庭
520	家庭
521	家庭
522	家庭
523	家庭
524	家庭
525	家庭
526	家庭
527	经济
528	经济
529	家庭
530	家庭
531	家庭
532	家庭
533	家庭
534	家庭
535	家庭
536	家庭
537	家庭
538	家庭
539	家庭
540	家庭
541	家庭
542	经济
543	家庭
544	科教
545	科教
546	科教
547	科教
548	科教
549	科教
550	科教
551	科教
552	家庭
553	经济
554	公益
555	公益
556	经济
557	
558	科教
559	科教
560	科教
561	科教
562	科教
563	文化
564	文化
565	文化
566	科教
567	科教
568	科教
569	科教
570	科教
571	经济
572	科教
573	科教
574	科教
575	科教
576	科教
577	科教
578	科教
579	科教
580	科教
581	科教
582	科教
583	科教
584	科教
585	科教
586	科教
587	科教
588	科教
589	科教
590	科教
591	科教
592	科教
593	经济
594	科教
595	文化
596	科教
597	科教
598	科教
599	科教
600	科教
601	科教
602	科教
603	科教
604	科教
605	科教
606	科教
607	科教
608	科教
609	科教
610	科教
611	科教
612	科教
613	科教
614	科教
615	科教
616	科教
617	科教
618	科教
	
